"Datum","SAP.DE","SIE.DE","BAYN.DE","BAS.DE","ALV.DE","DAI.DE","DTE.DE","ADS.DE","BMW.DE","VOW3.DE"
"22-10-2018",93.728622,93.115692,73.057518,64.526253,176.057404,47.561279,13.908496,198.206314,70.707336,137.697845
"23-10-2018",91.370361,92.372551,66.118294,63.751827,173.607651,47.252377,13.770032,194.802582,69.814468,135.143951
"24-10-2018",90.462578,92.874176,65.163788,62.910473,174.430618,46.80307,13.894173,198.304977,69.04509,129.33963
"25-10-2018",92.43602,94.063202,63.216614,63.732708,175.253586,48.06675,13.784356,204.520508,70.764328,132.532013
"26-10-2018",91.75518,92.967064,63.140251,63.531921,171.540665,48.085472,13.559948,200.672791,71.258247,132.415924
"29-10-2018",91.399963,94.360458,64.791534,63.732708,173.377975,49.077698,13.574272,202.547333,72.569061,137.775238
"30-10-2018",91.380234,93.022797,63.655685,63.273781,174.143539,48.787518,13.73661,199.390244,72.512062,141.954361
"31-10-2018",93.403015,94.490501,64.696091,65.042542,176.497604,49.012173,13.841652,205.211121,72.407585,143.908463
"01-11-2018",92.218941,94.434776,66.433281,64.80352,176.306229,49.208748,13.79868,201.264755,72.939499,146.597809
"02-11-2018",93.136589,95.382271,66.757813,66.45755,176.95694,49.742302,13.741385,203.731232,73.841866,149.325836
"05-11-2018",92.534691,95.400848,66.986893,66.409744,176.70813,49.321072,13.817779,204.224533,73.357437,150.370621
"06-11-2018",92.179474,94.564819,66.815079,65.797852,176.057404,48.927929,13.851201,203.139267,73.062981,151.047791
"07-11-2018",93.363541,95.438011,68.285011,66.285454,177.224869,48.956009,14.018313,195.937164,70.536362,149.906281
"08-11-2018",93.077393,96.162567,67.502319,66.027306,178.966507,48.019947,13.999214,198.304977,70.156418,146.365646
"09-11-2018",93.906235,95.066437,67.769585,65.82653,183.732056,47.514473,14.032637,201.166092,69.681496,141.296524
"12-11-2018",88.607544,93.041382,65.488327,64.841766,182.775116,47.186855,14.023088,199.094254,68.893112,141.08371
"13-11-2018",90.65992,94.471924,63.607956,66.524475,185.760757,48.572224,14.242721,203.829895,70.194412,143.134567
"14-11-2018",90.719131,93.394371,61.565323,66.132477,182.58374,48.946651,14.290467,202.843307,70.916306,144.430862
"15-11-2018",90.926338,94.15609,60.620365,66.5914,181.205734,47.795296,14.257045,202.744644,70.47937,142.824997
"16-11-2018",90.482307,94.137505,59.742226,66.3237,181.090912,47.261742,14.44803,201.955368,70.042435,139.226318
"19-11-2018",87.768829,92.911324,59.46542,65.989067,180.535889,47.224297,14.486227,198.107666,70.460373,141.935013
"20-11-2018",86.870918,91.889503,58.24366,63.254665,176.995224,46.597134,14.500551,196.479782,69.994949,141.006302
"21-11-2018",88.114189,93.598732,59.75177,64.009964,177.856461,47.589359,14.615142,201.659378,70.593353,147.391068
"22-11-2018",87.344536,92.985641,59.398605,62.843548,175.559814,47.196213,14.428931,198.896942,69.928459,146.965424
"23-11-2018",88.163521,93.394371,59.952217,62.814857,176.45932,47.430229,14.533974,199.982178,69.80497,146.056076
"26-11-2018",88.804886,95.177917,61.307613,63.245102,181.358856,48.619026,14.681987,196.578445,71.115776,149.151703
"27-11-2018",88.992371,95.307961,60.849449,62.336815,181.626801,47.448952,14.782253,196.479782,70.165924,143.173264
"28-11-2018",89.623871,95.140755,61.307613,62.327259,181.167465,47.383427,14.686761,196.430466,70.042435,144.160004
